sigla_tipo,numero,ano,ementa,votada_plenario,cod_tipo,id,casa,tema,autor,link
PL,3306,2019,"Institui programa de redução, reuso e reciclagem de resíduos sólidos na rede pública de educação básica.",0,139,2206445,camara,Meio Ambiente e Desenvolvimento Sustentável,David Soares,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2206445
PL,3326,2019,Dispõe sobre a atividade pesqueira embarcada para a captura das espécies de camarão que especifica e adota outras providências.,0,139,2206610,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Helder Salomão,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2206610
PL,3331,2019,"Determina a proibição de produção e importação de canudos e palitos de madeira embalados individualmente em plástico não biodegradável, e dá outras providências.",0,139,2206632,camara,Meio Ambiente e Desenvolvimento Sustentável,Mário Heringer,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2206632
PL,3336,2019,Dispõe sobre a atuação e o estabelecimento de zoológicos e aquários como centros de conservação da biodiversidade.,0,139,2206678,camara,Meio Ambiente e Desenvolvimento Sustentável,Carla Zambelli; Rodrigo Agostinho,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2206678
PL,3337,2019,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, que ""dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente, e dá outras providências"", na seção dos crimes contra a flora - (Desmatamento Ilegal Zero).",0,139,2206680,camara,Meio Ambiente e Desenvolvimento Sustentável,Rodrigo Agostinho,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2206680
PL,3338,2019,"Dispõe sobre a conservação, o uso sustentável e a restauração da vegetação nativa do bioma Cerrado.",0,139,2206681,camara,Meio Ambiente e Desenvolvimento Sustentável,Rodrigo Agostinho,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2206681
PL,3376,2019,Dispõe sobre o uso do asfalto ecológico composto por borracha reciclável.,0,139,2206973,camara,Meio Ambiente e Desenvolvimento Sustentável,Juninho do Pneu,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2206973
PL,3386,2019,"Cria o Fundo Nacional de Preservação da Qualidade de Vida Animal e estabelece a obrigação de se criar, em todos os municípios com população superior a oitocentos e cinquenta mil habitantes, ao menos um hospital público veterinário, e dá outras providências.",0,139,2207060,camara,Meio Ambiente e Desenvolvimento Sustentável,Jéssica Sales,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2207060
PL,3403,2019,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, para elevar a pena de maus-tratos a animais e dá outras providências.",0,139,2207121,camara,Meio Ambiente e Desenvolvimento Sustentável,Júnior Bozzella,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2207121
PL,3430,2019,"Altera dispositivos da Lei nº 12.651, de 25 de maio de 2012, para disciplinar a intervenção e implantação de instalações necessárias à recuperação e proteção de nascentes.  NOVA EMENTA: Altera as Leis nºs 12.651, de 25 de maio de 2012, e 14.119, de 13 de janeiro de 2021, para disciplinar a intervenção e a implantação de instalações necessárias à recuperação e à proteção de nascentes.",1,139,2207429,camara,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",Leandre,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2207429
