sigla_tipo,numero,ano,ementa,id,casa,tema,autor,link
PRS,57,2019,"Estabelece alíquota máxima para o Imposto sobre Transmissão Causa Mortis e Doação, de que trata o inciso I do caput, e inciso IV do § 1º do art. 155 da Constituição Federal.",137288,senado,Nao especificado,Senador Cid Gomes (PDT/CE),https://www25.senado.leg.br/web/atividade/materias/-/materia/137288
PL,3915,2019,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998 (Lei de Crimes Ambientais),
para tipificar o crime de desastre ecológico de grande proporção ou que
produza estado de calamidade pública, bem como a conduta do responsável
por desastre relativo a rompimento de barragem.",137601,senado,Meio ambiente, CPI de Brumadinho,https://www25.senado.leg.br/web/atividade/materias/-/materia/137601
PDL,259,2019,"Aprova o ato que outorga autorização à Associação Cultural e Artística de Jaguarari para executar serviço de radiodifusão comunitária no Município de Jaguarari, Estado da Bahia.",136705,senado,Nao especificado,Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/136705
PL,1402,2019,Tipifica o crime de perturbação da qualidade ambiental por poluição sonora.,135653,senado,Meio ambiente,Senador Veneziano Vital do Rêgo (PSB/PB),https://www25.senado.leg.br/web/atividade/materias/-/materia/135653
PDL,25,2019,"Exclui da Área Indígena WAIMIRIATROARI o leito da BR 174, no Estado de Roraima.",135165,senado,Nao especificado,Senador Mecias de Jesus (PRB/RR),https://www25.senado.leg.br/web/atividade/materias/-/materia/135165
PDL,410,2019,"Aprova o ato que renova a autorização outorgada à Ascocol - Associação Comunitária de Colorado do Oeste - RO para executar serviço de radiodifusão comunitária no Município de Colorado do Oeste, Estado de Rondônia.",137375,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/137375
PDL,106,2019,"Aprova o ato que outorga permissão à Fundação Jaboticabal de Radiodifusão Educativa para executar serviço de radiodifusão sonora em frequência modulada no Município de Bebedouro, Estado de São Paulo.",136290,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/136290
PL,2276,2019,Torna obrigatória a produção impressa de propaganda eleitoral a partir de material biodegradável.,136339,senado,Meio ambiente, Comissão de Direitos Humanos e Legislação Participativa,https://www25.senado.leg.br/web/atividade/materias/-/materia/136339
PRS,21,2019,"Cria, no âmbito do Senado Federal, o Programa Senado Educador.",135675,senado,Nao especificado,Senador Confúcio Moura (MDB/RO),https://www25.senado.leg.br/web/atividade/materias/-/materia/135675
PDL,59,2019,"Aprova o texto do Acordo de Cooperação entre a República Federativa do Brasil e a Organização para a Cooperação e Desenvolvimento Econômico, assinado em Paris, em 3 de junho de 2015.",135740,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/135740
PDL,60,2019,"Aprova o texto do Acordo que Institui a Fundação Internacional UE-ALC, assinado em São Domingos, República Dominicana, em 25 de outubro de 2016.",135741,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/135741
PRS,25,2019,"Altera o Regimento Interno do Senado Federal, para fixar prazo máximo para o relator designado apresentar relatório à Comissão.",135793,senado,Nao especificado,Senadora Rose de Freitas (PODE/ES),https://www25.senado.leg.br/web/atividade/materias/-/materia/135793
PRS,10,2019,"Institui a Frente Parlamentar de Ciência, Tecnologia, Pesquisa e Inovação.",135424,senado,Nao especificado,Senador Izalci Lucas (PSDB/DF),https://www25.senado.leg.br/web/atividade/materias/-/materia/135424
PDL,475,2019,"Aprova o ato que outorga autorização à União dos Moradores e Amigos da Região Sul de Palmas para executar serviço de radiodifusão comunitária no Município de Palmas, Estado de Tocantins.",137739,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/137739
