nome,id_entidade_parlametria,partido,uf,casa,governismo,governismo_ma,peso_politico,votos_favoraveis,votos_contra,votos_indef,votos_sim_nao,apoio
Delegado Waldir,1164359,PSL,GO,camara,3.45728803892575,-0.5315860929198788,0.354122,0,5,0,5,0
Denis Bezerra,1204542,PSB,CE,camara,-2.5327567680271166,-5.105662717563037,0.0981713,5,0,18,5,1
Diego Andrade,1160588,PSD,MG,camara,5.013149061669349,4.182213841463433,0.08452,1,14,0,15,0.06666666666666667
Diego Garcia,1178929,PODE,PR,camara,4.343199457898288,5.0189497588628385,0.0920984,1,17,0,18,0.05555555555555555
Dimas Fabiano,1160599,PP,MG,camara,6.386012212897889,7.741574436673716,0.129967,0,5,0,5,0
Domingos Neto,1143632,PSD,CE,camara,4.898160045792464,0.6286821767265831,0.0748257,3,4,0,7,0.42857142857142855
Domingos Sávio,1160758,PSDB,MG,camara,3.5402399283216006,5.49293746947529,0.104114,1,17,0,18,0.05555555555555555
Dr. Frederico,1204518,PATRIOTA,MG,camara,4.554312115174049,3.3882271152884424,0,3,17,0,20,0.15
Dr. Jaziel,1204481,PL,CE,camara,5.602650494087889,1.133579227851511,0.0750108,2,11,0,13,0.15384615384615385
Dr. Leonardo,1204439,SOLIDARIEDADE,MT,camara,3.0057837186030376,2.639464716652917,0.0782217,3,19,0,22,0.13636363636363635
Dr. Luiz Antonio Teixeira Jr.,1204450,PP,RJ,camara,4.344301490265609,6.712880370587342,0.0488506,2,17,0,19,0.10526315789473684
Dr. Luiz Ovando,1204351,PSL,MS,camara,6.484777812435301,4.880930123654947,0,2,21,0,23,0.08695652173913043
Dr. Zacharias Calil,1204412,DEM,GO,camara,3.6723357978238163,0.5672158409218468,0.0386215,2,16,0,18,0.1111111111111111
Dra. Soraya Manato,181297,PSL,ES,camara,6.122287781474817,4.1324919670890115,0.0787331,2,19,0,21,0.09523809523809523
Dra. Vanda Milani,1204434,SOLIDARIEDADE,AC,camara,3.303268050932811,4.80628368033344,0.0733954,2,18,0,20,0.1
Dulce Miranda,1178994,MDB,TO,camara,3.500283238487519,1.5292620681534892,0.0664739,2,16,0,18,0.1111111111111111
Edilázio Júnior,1204562,PSD,MA,camara,5.4050544945300345,0.6773369818567421,0.0683226,4,16,0,20,0.2
Edio Lopes,1141417,PL,RR,camara,5.518217133905981,4.936646340642453,0.137416,1,0,0,1,1
Edmilson Rodrigues,1134812,PSOL,PA,camara,-7.055106803499095,-7.248743557970302,NA,2,0,14,2,1
