id_entidade,id_entidade_parlametria,casa,nome,sexo,partido,uf,governismo,governismo_ma,peso_politico,assinadas,autorias_ponderadas,positivas,negativas,neutras
5422,25422,senado,Marcos Rogério,M,DEM,RO,6.529073040067857,7.68821148829257,0.362385,3,2.032258064516129,1,1,1
5502,25502,senado,Plínio Valério,M,PSDB,AM,3.8690384448226602,-0.16898113150577387,0.104196,9,2.2431216931216933,8,0,1
5523,25523,senado,Otto Alencar,M,PSD,BA,-0.19952998112038856,-0.0877729053317946,0.278117,7,0.3039511862092507,5,0,2
5525,25525,senado,Omar Aziz,M,PSD,AM,2.9780815247860914,-0.4763773429360789,0.312882,2,0.06797235023041474,2,0,0
5527,25527,senado,Simone Tebet,F,MDB,MS,4.933015625242378,0.18690996071239319,0.330264,3,0.10500938726745178,2,0,1
5529,25529,senado,Antonio Anastasia,M,PSD,MG,6.1643116758018905,0.23674188236171645,0.153958,4,0.13225806451612904,4,0,0
5531,25531,senado,Elmano Férrer,M,PP,PI,6.1180166117632275,7.033293282263553,0.0173823,5,0.22987711213517664,4,0,1
5533,25533,senado,Lasier Martins,M,PODEMOS,RS,1.0692923782052528,6.595063528612567,0.119193,8,3.1703703703703705,6,0,2
5535,25535,senado,Telmário Mota,M,PROS,RR,4.677022940703409,8.6653810059608,0.330264,6,4.069047619047619,4,2,0
5537,25537,senado,Dário Berger,M,MDB,SC,1.8900759794455109,6.534569518797401,0.330264,1,0.03225806451612903,1,0,0
5540,25540,senado,Fernando Bezerra Coelho,M,MDB,PE,8.253165275239809,7.649986598916577,0.312882,2,0.06797235023041474,2,0,0
5554,25554,senado,Bebeto,M,PSB,BA,NA,NA,NA,0,0,NA,NA,NA
5557,25557,senado,Mailza Gomes,F,PP,AC,4.602925630538035,6.65823670504782,0.139058,3,0.09786653012459463,3,0,0
5559,25559,senado,Bispo José,M,PSC,AC,NA,NA,NA,0,0,NA,NA,NA
5561,25561,senado,Renilde Bulhões,F,PROS,AL,2.3196814697378265,-3.193617974526944,NA,0,0,NA,NA,NA
5563,25563,senado,Severino Leão,M,PTB,AL,NA,NA,NA,0,0,NA,NA,NA
5565,25565,senado,Dr. Helder Cavalcante,M,PL,AM,NA,NA,NA,0,0,NA,NA,NA
5567,25567,senado,Luis Mitoso,M,PSD,AM,NA,NA,NA,0,0,NA,NA,NA
5569,25569,senado,Josiel,M,DEM,AP,NA,NA,NA,0,0,NA,NA,NA
5571,25571,senado,Marquinho,M,DEM,AP,NA,NA,NA,0,0,NA,NA,NA
5573,25573,senado,Abel Rebouças,M,PDT,BA,NA,NA,NA,0,0,NA,NA,NA
5575,25575,senado,Marizete,F,PT,BA,NA,NA,NA,0,0,NA,NA,NA
5577,25577,senado,Fernando Façanha,M,PSDB,CE,NA,NA,NA,0,0,NA,NA,NA
5579,25579,senado,José Carlos Vasconcellos,M,PDT,DF,NA,NA,NA,0,0,NA,NA,NA
5581,25581,senado,Fadi Faraj,M,SOLIDARIEDADE,DF,NA,NA,NA,0,0,NA,NA,NA
5583,25583,senado,Schariff Moyses,M,PSDB,ES,NA,NA,NA,0,0,NA,NA,NA
5585,25585,senado,Luiz do Carmo,M,MDB,GO,8.030788587697117,7.713511225511475,0.0173823,0,0,NA,NA,NA
5587,25587,senado,Eladio Carneiro,M,MDB,GO,NA,NA,NA,0,0,NA,NA,NA
5589,25589,senado,Paulo Matos,M,CIDADANIA,MA,NA,NA,NA,0,0,NA,NA,NA
5591,25591,senado,Manoel Motta,M,PCB,MT,NA,NA,NA,0,0,NA,NA,NA
5593,25593,senado,Celso Dal Lago Rodrigues,M,MDB,MS,NA,NA,NA,0,0,NA,NA,NA
5595,25595,senado,Moacir Kohl,M,PSB,MS,NA,NA,NA,0,0,NA,NA,NA
5599,25599,senado,Pastor Ibanes Taveira,M,PDT,PA,NA,NA,NA,0,0,NA,NA,NA
5601,25601,senado,Roosevelt Vita,M,MDB,PB,NA,NA,NA,0,0,NA,NA,NA
5603,25603,senado,Carlos Augusto Costa,M,PV,PE,NA,NA,NA,0,0,NA,NA,NA
5605,25605,senado,Eliane Rodrigues,F,PSB,PE,NA,NA,NA,0,0,NA,NA,NA
5607,25607,senado,Alzenir Porto,F,PTB,PI,NA,NA,NA,0,0,NA,NA,NA
5609,25609,senado,Joel Malucelli,M,PSD,PR,NA,NA,NA,0,0,NA,NA,NA
5611,25611,senado,Severino Araujo,M,PSB,PR,NA,NA,NA,0,0,NA,NA,NA
5613,25613,senado,João Batista Lemos,M,PCB,RJ,NA,NA,NA,0,0,NA,NA,NA
5615,25615,senado,Gilberto Piselo,M,PDT,RO,NA,NA,NA,0,0,NA,NA,NA
5617,25617,senado,Pastor Valadares,M,PDT,RO,NA,NA,NA,0,0,NA,NA,NA
5619,25619,senado,Thieres Pinto,M,PTB,RR,NA,NA,NA,0,0,NA,NA,NA
5621,25621,senado,Rudson Leite,M,PV,RR,NA,NA,NA,0,0,NA,NA,NA
5623,25623,senado,Christopher Goulart,M,PDT,RS,NA,NA,NA,0,0,NA,NA,NA
5625,25625,senado,Adilson Silva dos Santos,M,PEN,RS,NA,NA,NA,0,0,NA,NA,NA
5627,25627,senado,Jean Paul Prates,M,PT,RN,-8.270386295806299,-8.828955976071256,0.139058,5,0.34179894179894177,4,0,1
5629,25629,senado,Theodorico Netto,M,PT,RN,NA,NA,NA,0,0,NA,NA,NA
5631,25631,senado,Ayres Marchetti,M,PSD,SC,NA,NA,NA,0,0,NA,NA,NA
5633,25633,senado,Atilio Francisco,M,REPUBLICANOS,SP,NA,NA,NA,0,0,NA,NA,NA
5635,25635,senado,Ricardo Franco,M,DEM,SE,NA,NA,NA,0,0,NA,NA,NA
5637,25637,senado,Donizeti Nogueira,M,PT,TO,NA,NA,NA,0,0,NA,NA,NA
5639,25639,senado,Guaracy Silveira,M,PSL,TO,NA,NA,NA,0,0,NA,NA,NA
5666,25666,senado,Major Olimpio,M,PSL,SP,2.735762845263338,8.608051902256836,0.361702,5,2.106084656084656,4,0,1
5718,25718,senado,Eliziane Gama,F,CIDADANIA,MA,-1.3234702132457201,-7.002334561205195,0.380735,11,5.270370370370371,9,0,2
5732,25732,senado,Rodrigo Pacheco,M,DEM,MG,5.435169291864824,-0.2600701160263146,0.337366,2,0.06797235023041474,2,0,0
5740,25740,senado,Fabio Garcia,M,DEM,MT,NA,NA,NA,0,0,NA,NA,NA
5748,25748,senado,Veneziano Vital do Rêgo,M,MDB,PB,-2.515317292581236,-6.917032602281734,0.375057,16,11.169295101553166,14,0,2
5783,25783,senado,Zenaide Maia,F,PROS,RN,-5.404990835837358,-7.897091329840391,0.0173823,10,1.485978835978836,8,0,2
581,2581,senado,Jaques Wagner,M,PT,BA,-8.424735814848406,-8.38164187830956,0.100209,12,4.6002645502645505,11,0,1
5837,25837,senado,Davidson Magalhães,M,PCdoB,BA,NA,NA,NA,0,0,NA,NA,NA
5849,25849,senado,José Amauri,M,PODEMOS,PI,NA,NA,NA,0,0,NA,NA,NA
5892,25892,senado,Roberth Bringel,M,DEM,MA,NA,NA,NA,0,0,NA,NA,NA
5893,25893,senado,Suely Pereira,M,NA,MA,NA,NA,NA,0,0,NA,NA,NA
5894,25894,senado,Flávio Bolsonaro,M,REPUBLICANOS,RJ,9.949300059789131,8.692926509593327,0.427108,1,0.5,0,1,0
5895,25895,senado,Jorge Kajuru,M,CIDADANIA,GO,-2.614348811849715,-0.2463283174439983,0.312882,14,9.169295101553166,11,0,3
5896,25896,senado,Benjamin Beze Junior,M,NA,GO,NA,NA,NA,0,0,NA,NA,NA
5897,25897,senado,Milton Mercêz,M,NA,GO,NA,NA,NA,0,0,NA,NA,NA
5898,25898,senado,Eliane Nogueira,F,NA,PI,NA,NA,NA,0,0,NA,NA,NA
5899,25899,senado,Vanderlan Cardoso,M,PSD,GO,5.088446496104124,7.5317823197670535,0.375214,2,1.0357142857142858,2,0,0
