id_leggo,id_principal,casa,id_autor.x,id_autor.y,peso_arestas,num_coautorias,nome.x,partido.x,uf.x,casa_autor.x,bancada.x,nome.y,partido.y,uf.y,casa_autor.y,bancada.y
d8a02979d2829415b1b87a300ce96d86,137118,senado,5350,5895,0.25,1,Sen. Jorginho Mello,PL,SC,senado,governo,Sen. Jorge Kajuru,PATRIOTA,GO,senado,governo
d8a02979d2829415b1b87a300ce96d86,137118,senado,5535,5732,0.25,1,Sen. Telmário Mota,PROS,RR,senado,governo,Sen. Rodrigo Pacheco,DEM,MG,senado,governo
d8a02979d2829415b1b87a300ce96d86,137118,senado,5535,5895,0.25,1,Sen. Telmário Mota,PROS,RR,senado,governo,Sen. Jorge Kajuru,PATRIOTA,GO,senado,governo
d8a02979d2829415b1b87a300ce96d86,137118,senado,5732,5895,0.25,1,Sen. Rodrigo Pacheco,DEM,MG,senado,governo,Sen. Jorge Kajuru,PATRIOTA,GO,senado,governo
d8a02979d2829415b1b87a300ce96d86,137118,senado,581,581,1,1,Sen. Jaques Wagner,PT,BA,senado,oposição,Sen. Jaques Wagner,PT,BA,senado,oposição
d8a02979d2829415b1b87a300ce96d86,137118,senado,677,677,11,11,Sen. Roberto Rocha,PSDB,MA,senado,governo,Sen. Roberto Rocha,PSDB,MA,senado,governo
d8ca90757e4d915b2c048ec921d41ce7,145626,senado,90,90,1,1,Sen. José Serra,PSDB,SP,senado,governo,Sen. José Serra,PSDB,SP,senado,governo
daa56dae713f27b1143ea567d69fbaef,138338,senado,5666,5666,1,1,Sen. Major Olimpio,PSL,SP,senado,governo,Sen. Major Olimpio,PSL,SP,senado,governo
db8bbb739b0ec0cdaf70fa39f50f6568,136200,senado,1249,1249,1,1,Sen. Kátia Abreu,PP,TO,senado,governo,Sen. Kátia Abreu,PP,TO,senado,governo
db8bbb739b0ec0cdaf70fa39f50f6568,136200,senado,4994,4994,2,2,Sen. Eduardo Braga,MDB,AM,senado,governo,Sen. Eduardo Braga,MDB,AM,senado,governo
db8bbb739b0ec0cdaf70fa39f50f6568,136200,senado,5959,5959,1,1,Sen. Styvenson Valentim,PODEMOS,RN,senado,governo,Sen. Styvenson Valentim,PODEMOS,RN,senado,governo
dbfe518b5c78cc36fe8a42fdc31188ed,138498,senado,739,739,1,1,Sen. Ciro Nogueira,PP,PI,senado,governo,Sen. Ciro Nogueira,PP,PI,senado,governo
ddcf29758528b140118b6054030a025e,139361,senado,2331,2331,1,1,Sen. Rose de Freitas,PODEMOS,ES,senado,governo,Sen. Rose de Freitas,PODEMOS,ES,senado,governo
e0f5d1ca11d2c6b703ea6c36ccb40dbd,136879,senado,581,581,1,1,Sen. Jaques Wagner,PT,BA,senado,oposição,Sen. Jaques Wagner,PT,BA,senado,oposição
e0f5d1ca11d2c6b703ea6c36ccb40dbd,136879,senado,6027,6027,1,1,Sen. Mecias de Jesus,REPUBLICANOS,RR,senado,governo,Sen. Mecias de Jesus,REPUBLICANOS,RR,senado,governo
e56e3cdbc6506aff6322820bf2e45ffb,137657,senado,5718,5718,1,1,Sen. Eliziane Gama,CIDADANIA,MA,senado,governo,Sen. Eliziane Gama,CIDADANIA,MA,senado,governo
e7ed0cf5a317d76a8ff1ff522f61812e,136839,senado,1173,1173,1,1,Sen. Wellington Fagundes,PL,MT,senado,governo,Sen. Wellington Fagundes,PL,MT,senado,governo
e7ed0cf5a317d76a8ff1ff522f61812e,136839,senado,5502,5502,1,1,Sen. Plínio Valério,PSDB,AM,senado,governo,Sen. Plínio Valério,PSDB,AM,senado,governo
e7ed0cf5a317d76a8ff1ff522f61812e,136839,senado,5529,5529,1,1,Sen. Antonio Anastasia,PSD,MG,senado,governo,Sen. Antonio Anastasia,PSD,MG,senado,governo
e930c2f9ea803cca320833675408d71f,135648,senado,5523,5523,2,2,Sen. Otto Alencar,PSD,BA,senado,governo,Sen. Otto Alencar,PSD,BA,senado,governo
e930c2f9ea803cca320833675408d71f,135648,senado,5529,5529,2,2,Sen. Antonio Anastasia,PSD,MG,senado,governo,Sen. Antonio Anastasia,PSD,MG,senado,governo
e930c2f9ea803cca320833675408d71f,135648,senado,5990,5990,1,1,Sen. Carlos Viana,PSD,MG,senado,governo,Sen. Carlos Viana,PSD,MG,senado,governo
eaad6a95ed22f2ae06485a3512ae9e3e,141437,senado,1173,1173,2,2,Sen. Wellington Fagundes,PL,MT,senado,governo,Sen. Wellington Fagundes,PL,MT,senado,governo
eaad6a95ed22f2ae06485a3512ae9e3e,141437,senado,1249,1249,2,2,Sen. Kátia Abreu,PP,TO,senado,governo,Sen. Kátia Abreu,PP,TO,senado,governo
eaad6a95ed22f2ae06485a3512ae9e3e,141437,senado,2331,2331,3,3,Sen. Rose de Freitas,PODEMOS,ES,senado,governo,Sen. Rose de Freitas,PODEMOS,ES,senado,governo
eaad6a95ed22f2ae06485a3512ae9e3e,141437,senado,374,374,7,7,Sen. Paulo Rocha,PT,PA,senado,oposição,Sen. Paulo Rocha,PT,PA,senado,oposição
eaad6a95ed22f2ae06485a3512ae9e3e,141437,senado,3806,3806,9,9,Sen. Zequinha Marinho,PSC,PA,senado,governo,Sen. Zequinha Marinho,PSC,PA,senado,governo
eaad6a95ed22f2ae06485a3512ae9e3e,141437,senado,4531,4531,2,2,Sen. Jayme Campos,DEM,MT,senado,governo,Sen. Jayme Campos,DEM,MT,senado,governo
eaad6a95ed22f2ae06485a3512ae9e3e,141437,senado,4981,4981,2,2,Sen. Acir Gurgacz,PDT,RO,senado,oposição,Sen. Acir Gurgacz,PDT,RO,senado,oposição
eaad6a95ed22f2ae06485a3512ae9e3e,141437,senado,5012,5012,3,3,Sen. Randolfe Rodrigues,REDE,AP,senado,oposição,Sen. Randolfe Rodrigues,REDE,AP,senado,oposição
eaad6a95ed22f2ae06485a3512ae9e3e,141437,senado,5352,5352,15,15,Sen. Rogério Carvalho,PT,SE,senado,oposição,Sen. Rogério Carvalho,PT,SE,senado,oposição
eaad6a95ed22f2ae06485a3512ae9e3e,141437,senado,5411,5411,4,4,Sen. Weverton,PDT,MA,senado,oposição,Sen. Weverton,PDT,MA,senado,oposição
eaad6a95ed22f2ae06485a3512ae9e3e,141437,senado,5535,5535,1,1,Sen. Telmário Mota,PROS,RR,senado,governo,Sen. Telmário Mota,PROS,RR,senado,governo
eaad6a95ed22f2ae06485a3512ae9e3e,141437,senado,5627,5627,5,5,Sen. Jean Paul Prates,PT,RN,senado,oposição,Sen. Jean Paul Prates,PT,RN,senado,oposição
eaad6a95ed22f2ae06485a3512ae9e3e,141437,senado,5718,5718,1,1,Sen. Eliziane Gama,CIDADANIA,MA,senado,governo,Sen. Eliziane Gama,CIDADANIA,MA,senado,governo
eaad6a95ed22f2ae06485a3512ae9e3e,141437,senado,581,581,3,3,Sen. Jaques Wagner,PT,BA,senado,oposição,Sen. Jaques Wagner,PT,BA,senado,oposição
eaad6a95ed22f2ae06485a3512ae9e3e,141437,senado,5942,5942,2,2,Sen. Marcos do Val,PODEMOS,ES,senado,governo,Sen. Marcos do Val,PODEMOS,ES,senado,governo
