id_principal,casa,id_documento,sigla,descricao_tipo_documento,id_autor,data,url_inteiro_teor,id_leggo,peso_autor_documento,casa_autor,nome_eleitoral,autores,id_autor_parlametria,tipo_documento,tipo_acao
2204437,camara,2204437,PL 3078/2019,Projeto de Lei,204405,2019-05-22,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1751341,231f36c8f312f4a6e4f23fd1530b803a,1,camara,Dep. Liziane Bayer (PSB/RS),Dep. Liziane Bayer (PSB/RS),1204405,Prop. Original / Apensada,Proposição
2204534,camara,2204534,PL 3102/2019,Projeto de Lei,133968,2019-05-23,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1751802,0da5442954fdb33db5d136c638ce08ad,1,camara,Dep. Paulo Ramos (PDT/RJ),Dep. Paulo Ramos (PDT/RJ),1133968,Prop. Original / Apensada,Proposição
2204560,camara,2204560,PL 3108/2019,Projeto de Lei,204488,2019-05-23,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1751884,bb4a89b4644ef96655e2319142ea8cc2,1,camara,Dep. Célio Studart (PV/CE),Dep. Célio Studart (PV/CE),1204488,Prop. Original / Apensada,Proposição
2204564,camara,2204564,PDL 294/2019,Projeto de Decreto Legislativo de Sustação de Atos Normativos do Poder Executivo,160575,2019-05-23,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1751893,1936af28823a0817e771380dfacce78d,1,camara,Dep. Erika Kokay (PT/DF),Dep. Erika Kokay (PT/DF),1160575,Prop. Original / Apensada,Proposição
2204604,camara,2204604,PL 3117/2019,Projeto de Lei,137070,2019-05-23,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1752008,b8067c5e813a8dd9a9999ea22b361fd4,1,camara,Dep. Vicentinho Júnior (PL/TO),Dep. Vicentinho Júnior (PL/TO),1137070,Prop. Original / Apensada,Proposição
2204604,camara,2206681,PL 3338/2019,Projeto de Lei,204530,2019-06-05,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1760324,b8067c5e813a8dd9a9999ea22b361fd4,1,camara,Dep. Rodrigo Agostinho (PSB/SP),Dep. Rodrigo Agostinho (PSB/SP),1204530,Prop. Original / Apensada,Proposição
2204946,camara,2204946,PL 3128/2019,Projeto de Lei,204471,2019-05-28,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1755594,78e334886ead9d8b5f22837d9c1faa19,1,camara,Dep. Mara Rocha (PSDB/AC),Dep. Mara Rocha (PSDB/AC),1204471,Prop. Original / Apensada,Proposição
2205107,camara,2205107,PL 3153/2019,Projeto de Lei,204505,2019-05-28,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1755941,8d54ffda7c2ed473ab55c439a0999ed1,1,camara,Dep. Vavá Martins (PRB/PA),Dep. Vavá Martins (PRB/PA),1204505,Prop. Original / Apensada,Proposição
2205107,camara,2224264,PL 5406/2019,Projeto de Lei,204505,2019-10-08,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1817850,8d54ffda7c2ed473ab55c439a0999ed1,1,camara,Dep. Vavá Martins (PRB/PA),Dep. Vavá Martins (PRB/PA),1204505,Prop. Original / Apensada,Proposição
2205239,camara,2205239,PL 3169/2019,Projeto de Lei,178993,2019-05-28,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1756304,ef28d472202af98f348b44dba7f26af7,1,camara,Dep. Carlos Henrique Gaguim (DEM/TO),Dep. Carlos Henrique Gaguim (DEM/TO),1178993,Prop. Original / Apensada,Proposição
2205239,camara,2213435,REQ 2035/2019,Requerimento de Retirada de Proposição de Iniciativa Individual,178993,2019-08-06,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1785106,ef28d472202af98f348b44dba7f26af7,1,camara,Dep. Carlos Henrique Gaguim (DEM/TO),Dep. Carlos Henrique Gaguim (DEM/TO),1178993,Requerimento,Proposição
2205373,camara,2205373,PDL 342/2019,Projeto de Decreto Legislativo de Sustação de Atos Normativos do Poder Executivo,160511,2019-05-29,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1756813,787b90cdbc371525728eb762d5eef6b4,1,camara,Dep. Alessandro Molon (PSB/RJ),Dep. Alessandro Molon (PSB/RJ),1160511,Prop. Original / Apensada,Proposição
2205388,camara,2205373,PDL 342/2019,Projeto de Decreto Legislativo de Sustação de Atos Normativos do Poder Executivo,160511,2019-05-29,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1756813,502981994eea39cc5219deed51de3b53,1,camara,Dep. Alessandro Molon (PSB/RJ),Dep. Alessandro Molon (PSB/RJ),1160511,Prop. Original / Apensada,Proposição
2205388,camara,2205388,PDL 340/2019,Projeto de Decreto Legislativo de Sustação de Atos Normativos do Poder Executivo,73531,2019-05-29,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1756776,502981994eea39cc5219deed51de3b53,1,camara,Dep. Ivan Valente (PSOL/SP),Dep. Ivan Valente (PSOL/SP),173531,Prop. Original / Apensada,Proposição
2205388,camara,2205479,PDL 341/2019,Projeto de Decreto Legislativo de Sustação de Atos Normativos do Poder Executivo,204488,2019-05-29,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1756978,502981994eea39cc5219deed51de3b53,1,camara,Dep. Célio Studart (PV/CE),Dep. Célio Studart (PV/CE),1204488,Prop. Original / Apensada,Proposição
2205388,camara,2205541,PDL 345/2019,Projeto de Decreto Legislativo de Sustação de Atos Normativos do Poder Executivo,204530,2019-05-29,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1757105,502981994eea39cc5219deed51de3b53,1,camara,Dep. Rodrigo Agostinho (PSB/SP),Dep. Rodrigo Agostinho (PSB/SP),1204530,Prop. Original / Apensada,Proposição
2205388,camara,2205754,PDL 353/2019,Projeto de Decreto Legislativo de Sustação de Atos Normativos do Poder Executivo,74848,2019-05-30,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1757656,502981994eea39cc5219deed51de3b53,1,camara,Dep. Jandira Feghali (PCdoB/RJ),Dep. Jandira Feghali (PCdoB/RJ),174848,Prop. Original / Apensada,Proposição
